rank,candidate_id,mask_u16_hex,open_count,solid_count,density,largest_open_component,open_component_count,north_socket_bits,south_socket_bits,west_socket_bits,east_socket_bits,floor_support_bits,ceiling_gap_bits,left_wall_bits,right_wall_bits,silhouette_signature,socket_signature,mirror_family_signature,density_bucket,edge_socket_bucket,support_affordance_class,hazard_detail_eligibility,role_tags,chunk_path_allowed,score
74,VIS01_MP_0820,0x0820,14,2,0.1250,14,1,0xF,0xF,0xF,0xB,0xF,0xF,0x0,0x4,R0110-C0101,NF-SF-WF-EB,MF_0140,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
75,VIS01_MP_0120,0x0120,14,2,0.1250,14,1,0xF,0xF,0xB,0xF,0xF,0xF,0x4,0x0,R0110-C1100,NF-SF-WB-EF,MF_0120,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
76,VIS01_MP_0102,0x0102,14,2,0.1250,14,1,0xF,0xD,0xB,0xF,0xF,0xF,0x4,0x0,R1010-C1100,NF-SD-WB-EF,MF_0102,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
77,VIS01_MP_0240,0x0240,14,2,0.1250,14,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0110-C0110,NF-SF-WF-EF,MF_0240,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
78,VIS01_MP_0280,0x0280,14,2,0.1250,14,1,0xF,0xF,0xF,0xD,0xF,0xF,0x0,0x2,R0110-C0101,NF-SF-WF-ED,MF_0280,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
79,VIS01_MP_0300,0x0300,14,2,0.1250,14,1,0xF,0xF,0xB,0xF,0xF,0xF,0x4,0x0,R0020-C1100,NF-SF-WB-EF,MF_0300,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
80,VIS01_MP_0421,0x0421,13,3,0.1875,13,1,0xF,0xE,0xE,0xF,0xF,0xF,0x1,0x0,R1110-C1110,NF-SE-WE-EF,MF_0248,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1582
81,VIS01_MP_0422,0x0422,13,3,0.1875,13,1,0xF,0xD,0xF,0xF,0xF,0xF,0x0,0x0,R1110-C0210,NF-SD-WF-EF,MF_0244,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1582
82,VIS01_MP_0424,0x0424,13,3,0.1875,13,1,0xF,0xB,0xF,0xF,0xF,0xF,0x0,0x0,R1110-C0120,NF-SB-WF-EF,MF_0242,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1582
83,VIS01_MP_3000,0x3000,14,2,0.1250,14,1,0xC,0xF,0x7,0xF,0xF,0xC,0x8,0x0,R0002-C1100,NC-SF-W7-EF,MF_3000,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
84,VIS01_MP_2800,0x2800,14,2,0.1250,14,1,0xD,0xF,0xF,0xB,0xF,0xD,0x0,0x4,R0011-C0101,ND-SF-WF-EB,MF_2800,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
85,VIS01_MP_2200,0x2200,14,2,0.1250,14,1,0xD,0xF,0xF,0xF,0xF,0xD,0x0,0x0,R0011-C0200,ND-SF-WF-EF,MF_2200,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
86,VIS01_MP_2040,0x2040,14,2,0.1250,14,1,0xD,0xF,0xF,0xF,0xF,0xD,0x0,0x0,R0101-C0110,ND-SF-WF-EF,MF_2040,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
87,VIS01_MP_8020,0x8020,14,2,0.1250,14,1,0x7,0xF,0xF,0x7,0xF,0x7,0x0,0x8,R0101-C0101,N7-SF-WF-E7,MF_1040,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
88,VIS01_MP_4020,0x4020,14,2,0.1250,14,1,0xB,0xF,0xF,0xF,0xF,0xB,0x0,0x0,R0101-C0110,NB-SF-WF-EF,MF_2040,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
89,VIS01_MP_2020,0x2020,14,2,0.1250,14,1,0xD,0xF,0xF,0xF,0xF,0xD,0x0,0x0,R0101-C0200,ND-SF-WF-EF,MF_2020,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
90,VIS01_MP_6000,0x6000,14,2,0.1250,14,1,0x9,0xF,0xF,0xF,0xF,0x9,0x0,0x0,R0002-C0110,N9-SF-WF-EF,MF_6000,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
91,VIS01_MP_1020,0x1020,14,2,0.1250,14,1,0xE,0xF,0x7,0xF,0xF,0xE,0x8,0x0,R0101-C1100,NE-SF-W7-EF,MF_1020,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
92,VIS01_MP_2400,0x2400,14,2,0.1250,14,1,0xD,0xF,0xF,0xF,0xF,0xD,0x0,0x0,R0011-C0110,ND-SF-WF-EF,MF_2400,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
93,VIS01_MP_2080,0x2080,14,2,0.1250,14,1,0xD,0xF,0xF,0xD,0xF,0xD,0x0,0x2,R0101-C0101,ND-SF-WF-ED,MF_2080,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
94,VIS01_MP_A000,0xA000,14,2,0.1250,14,1,0x5,0xF,0xF,0x7,0xF,0x5,0x0,0x8,R0002-C0101,N5-SF-WF-E7,MF_5000,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
95,VIS01_MP_2010,0x2010,14,2,0.1250,14,1,0xD,0xF,0xD,0xF,0xF,0xD,0x2,0x0,R0101-C1100,ND-SF-WD-EF,MF_2010,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
96,VIS01_MP_8200,0x8200,14,2,0.1250,14,1,0x7,0xF,0xF,0x7,0xF,0x7,0x0,0x8,R0011-C0101,N7-SF-WF-E7,MF_1400,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
97,VIS01_MP_4200,0x4200,14,2,0.1250,14,1,0xB,0xF,0xF,0xF,0xF,0xB,0x0,0x0,R0011-C0110,NB-SF-WF-EF,MF_2400,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
98,VIS01_MP_1200,0x1200,14,2,0.1250,14,1,0xE,0xF,0x7,0xF,0xF,0xE,0x8,0x0,R0011-C1100,NE-SF-W7-EF,MF_1200,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
99,VIS01_MP_8420,0x8420,13,3,0.1875,13,1,0x7,0xF,0xF,0x7,0xF,0x7,0x0,0x8,R0111-C0111,N7-SF-WF-E7,MF_1240,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1582
100,VIS01_MP_6020,0x6020,13,3,0.1875,13,1,0x9,0xF,0xF,0xF,0xF,0x9,0x0,0x0,R0102-C0210,N9-SF-WF-EF,MF_6020,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1582
101,VIS01_MP_6040,0x6040,13,3,0.1875,13,1,0x9,0xF,0xF,0xF,0xF,0x9,0x0,0x0,R0102-C0120,N9-SF-WF-EF,MF_6020,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1582
102,VIS01_MP_8EFF,0x8EFF,4,12,0.7500,4,1,0x7,0x0,0xC,0x0,0x7,0x7,0x3,0xF,R4431-C2334,N7-S0-WC-E0,MF_17FF,DENSE_4_6,SIDES_2_FULL_0,PARTIAL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,CHUNK_PATH;CONNECTED_OPEN;DETAIL_ELIGIBLE,true,616
103,VIS01_MP_51B3,0x51B3,8,8,0.5000,8,1,0xA,0xC,0x0,0xD,0xE,0xA,0xF,0x2,R2312-C4211,NA-SC-W0-ED,MF_51B3,BALANCED_7_9,SIDES_3_FULL_0,PARTIAL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1058
104,VIS01_MP_1A08,0x1A08,12,4,0.2500,12,1,0xE,0x7,0x7,0xA,0xF,0xE,0x8,0x5,R1021-C1102,NE-S7-W7-EA,MF_1A08,LIGHT_10_12,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1488
105,VIS01_MP_4340,0x4340,12,4,0.2500,10,2,0xB,0xF,0xB,0xF,0xF,0xB,0x4,0x0,R0121-C1120,NB-SF-WB-EF,MF_2C20,LIGHT_10_12,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,LOW_DENSITY;DETAIL_ELIGIBLE,false,1115
106,VIS01_MP_8D1C,0x8D1C,9,7,0.4375,9,1,0x7,0x3,0x9,0x2,0xF,0x7,0x6,0xD,R2131-C2023,N7-S3-W9-E2,MF_1B83,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1194
107,VIS01_MP_F11F,0xF11F,6,10,0.6250,6,1,0x0,0x0,0x0,0x6,0xE,0x0,0xF,0x9,R4114-C4222,N0-S0-W0-E6,MF_F11F,DENSE_4_6,SIDES_1_FULL_0,PARTIAL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,CONNECTED_OPEN;DETAIL_ELIGIBLE,false,703
108,VIS01_MP_8457,0x8457,9,7,0.4375,6,2,0x7,0x8,0xC,0x7,0xF,0x7,0x3,0x8,R3211-C2131,N7-S8-WC-E7,MF_12AE,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,721
109,VIS01_MP_CE89,0xCE89,8,8,0.5000,8,1,0x3,0x6,0xE,0x0,0x7,0x3,0x1,0xF,R2132-C1124,N3-S6-WE-E0,MF_3719,BALANCED_7_9,SIDES_3_FULL_0,PARTIAL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1058
110,VIS01_MP_4762,0x4762,9,7,0.4375,5,3,0xB,0xD,0xB,0xF,0xF,0xB,0x4,0x0,R1231-C1330,NB-SD-WB-EF,MF_2E64,BALANCED_7_9,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,621
111,VIS01_MP_FD04,0xFD04,8,8,0.5000,8,1,0x0,0xB,0x3,0x3,0xF,0x0,0xC,0xC,R1034-C2132,N0-SB-W3-E3,MF_FB02,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1063
112,VIS01_MP_222C,0x222C,11,5,0.3125,6,2,0xD,0x3,0xF,0xE,0xF,0xD,0x0,0x1,R2111-C0311,ND-S3-WF-EE,MF_222C,LIGHT_10_12,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,721
113,VIS01_MP_90A1,0x90A1,11,5,0.3125,11,1,0x6,0xE,0x6,0x5,0xF,0x6,0x9,0xA,R1202-C2102,N6-SE-W6-E5,MF_9058,LIGHT_10_12,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1394
114,VIS01_MP_B8B3,0xB8B3,7,9,0.5625,7,1,0x4,0xC,0x4,0x1,0xF,0x4,0xB,0xE,R2313-C3303,N4-SC-W4-E1,MF_B8B3,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,982
115,VIS01_MP_C2C8,0xC2C8,10,6,0.3750,8,2,0x3,0x7,0xF,0x4,0xF,0x3,0x0,0xB,R1212-C0123,N3-S7-WF-E4,MF_3431,LIGHT_10_12,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,927
116,VIS01_MP_E8AC,0xE8AC,8,8,0.5000,8,1,0x1,0x3,0xF,0x0,0x7,0x1,0x0,0xF,R2213-C0224,N1-S3-WF-E0,MF_7153,BALANCED_7_9,SIDES_3_FULL_1,PARTIAL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1058
117,VIS01_MP_507C,0x507C,9,7,0.4375,7,2,0xA,0x3,0x5,0xE,0xF,0xA,0xA,0x1,R2302-C2131,NA-S3-W5-EE,MF_507C,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,821
118,VIS01_MP_F2CC,0xF2CC,7,9,0.5625,5,2,0x0,0x3,0x7,0x4,0xF,0x0,0x8,0xB,R2214-C1233,N0-S3-W7-E4,MF_F2CC,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,584
119,VIS01_MP_15D0,0x15D0,10,6,0.3750,10,1,0xE,0xF,0x1,0xD,0xF,0xE,0xE,0x2,R0321-C3021,NE-SF-W1-ED,MF_15D0,LIGHT_10_12,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1300
120,VIS01_MP_A022,0xA022,12,4,0.2500,12,1,0x5,0xD,0xF,0x7,0xF,0x5,0x0,0x8,R1102-C0301,N5-SD-WF-E7,MF_5044,LIGHT_10_12,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1488
121,VIS01_MP_040F,0x040F,11,5,0.3125,11,1,0xF,0x0,0xE,0xE,0xF,0xF,0x1,0x1,R4010-C1121,NF-S0-WE-EE,MF_020F,LIGHT_10_12,SIDES_3_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1369
122,VIS01_MP_F909,0xF909,8,8,0.5000,8,1,0x0,0x6,0x2,0x2,0xF,0x0,0xD,0xD,R2024-C3113,N0-S6-W2-E2,MF_F909,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1063
123,VIS01_MP_0648,0x0648,12,4,0.2500,12,1,0xF,0x7,0xF,0xE,0xF,0xF,0x0,0x1,R1120-C0121,NF-S7-WF-EE,MF_0621,LIGHT_10_12,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1488
124,VIS01_MP_9137,0x9137,8,8,0.5000,8,1,0x6,0x8,0x0,0x7,0xE,0x6,0xF,0x8,R3212-C4211,N6-S8-W0-E7,MF_9137,BALANCED_7_9,SIDES_3_FULL_0,PARTIAL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1058
125,VIS01_MP_B100,0xB100,12,4,0.2500,12,1,0x4,0xF,0x3,0x7,0xF,0x4,0xC,0x8,R0013-C2101,N4-SF-W3-E7,MF_B100,LIGHT_10_12,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1488
126,VIS01_MP_EE09,0xEE09,8,8,0.5000,8,1,0x1,0x6,0xE,0x2,0xF,0x1,0x1,0xD,R2033-C1223,N1-S6-WE-E2,MF_7709,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1088
127,VIS01_MP_720F,0x720F,8,8,0.5000,8,1,0x8,0x0,0x6,0xE,0xF,0x8,0x9,0x1,R4013-C2321,N8-S0-W6-EE,MF_720F,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1063
128,VIS01_MP_1FB1,0x1FB1,7,9,0.5625,4,2,0xE,0xE,0x0,0x9,0xE,0xE,0xF,0x6,R1341-C4212,NE-SE-W0-E9,MF_1FB1,BALANCED_7_9,SIDES_3_FULL_0,PARTIAL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,479
129,VIS01_MP_317F,0x317F,6,10,0.6250,6,1,0xC,0x0,0x0,0xE,0xE,0xC,0xF,0x1,R4312-C4321,NC-S0-W0-EE,MF_317F,DENSE_4_6,SIDES_2_FULL_0,PARTIAL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,CHUNK_PATH;CONNECTED_OPEN;DETAIL_ELIGIBLE,true,828
130,VIS01_MP_CDD0,0xCDD0,8,8,0.5000,8,1,0x3,0xF,0x9,0x1,0xF,0x3,0x6,0xE,R0332-C2033,N3-SF-W9-E1,MF_3BB0,BALANCED_7_9,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1088
131,VIS01_MP_CD0C,0xCD0C,9,7,0.4375,9,1,0x3,0x3,0xB,0x2,0xF,0x3,0x4,0xD,R2032-C1033,N3-S3-WB-E2,MF_3B03,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1194
132,VIS01_MP_AA02,0xAA02,11,5,0.3125,11,1,0x5,0xD,0xF,0x3,0xF,0x5,0x0,0xC,R1022-C0302,N5-SD-WF-E3,MF_5504,LIGHT_10_12,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1394
133,VIS01_MP_04C0,0x04C0,13,3,0.1875,13,1,0xF,0xF,0xF,0xD,0xF,0xF,0x0,0x2,R0210-C0021,NF-SF-WF-ED,MF_0230,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1582
134,VIS01_MP_0579,0x0579,9,7,0.4375,7,2,0xF,0x6,0x8,0xE,0xF,0xF,0x7,0x1,R2320-C3121,NF-S6-W8-EE,MF_0579,BALANCED_7_9,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,821
135,VIS01_MP_8641,0x8641,11,5,0.3125,11,1,0x7,0xE,0xE,0x7,0xF,0x7,0x1,0x8,R1121-C1121,N7-SE-WE-E7,MF_1628,LIGHT_10_12,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1394
136,VIS01_MP_B9D0,0xB9D0,8,8,0.5000,8,1,0x4,0xF,0x1,0x1,0xF,0x4,0xE,0xE,R0323-C3113,N4-SF-W1-E1,MF_B9D0,BALANCED_7_9,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1088
137,VIS01_MP_8042,0x8042,13,3,0.1875,13,1,0x7,0xD,0xF,0x7,0xF,0x7,0x0,0x8,R1101-C0111,N7-SD-WF-E7,MF_1024,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1582
138,VIS01_MP_47C8,0x47C8,9,7,0.4375,5,3,0xB,0x7,0xB,0xC,0xF,0xB,0x4,0x3,R1231-C1132,NB-S7-WB-EC,MF_2E31,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,621
139,VIS01_MP_F8A3,0xF8A3,7,9,0.5625,7,1,0x0,0xC,0x6,0x1,0xF,0x0,0x9,0xE,R2214-C2313,N0-SC-W6-E1,MF_F15C,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,957
140,VIS01_MP_11DC,0x11DC,9,7,0.4375,9,1,0xE,0x3,0x1,0xC,0xF,0xE,0xE,0x3,R2311-C3022,NE-S3-W1-EC,MF_11DC,BALANCED_7_9,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1194
141,VIS01_MP_8EAA,0x8EAA,8,8,0.5000,6,2,0x7,0x5,0xF,0x0,0x7,0x7,0x0,0xF,R2231-C0314,N7-S5-WF-E0,MF_1755,BALANCED_7_9,SIDES_3_FULL_1,PARTIAL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,685
142,VIS01_MP_004F,0x004F,11,5,0.3125,11,1,0xF,0x0,0xE,0xE,0xF,0xF,0x1,0x1,R4100-C1121,NF-S0-WE-EE,MF_002F,LIGHT_10_12,SIDES_3_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1369
143,VIS01_MP_F20B,0xF20B,8,8,0.5000,8,1,0x0,0x4,0x6,0x6,0xF,0x0,0x9,0x9,R3014-C2312,N0-S4-W6-E6,MF_F20B,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1063
144,VIS01_MP_3710,0x3710,10,6,0.3750,10,1,0xC,0xF,0x1,0xF,0xF,0xC,0xE,0x0,R0132-C3210,NC-SF-W1-EF,MF_3710,LIGHT_10_12,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1300
145,VIS01_MP_A809,0xA809,11,5,0.3125,11,1,0x5,0x6,0xE,0x2,0xF,0x5,0x1,0xD,R2012-C1103,N5-S6-WE-E2,MF_5109,LIGHT_10_12,SIDES_4_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1394
146,VIS01_MP_54F0,0x54F0,9,7,0.4375,4,3,0xA,0xF,0x5,0xD,0xF,0xA,0xA,0x2,R0412-C2131,NA-SF-W5-ED,MF_54F0,BALANCED_7_9,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,521
147,VIS01_MP_0B0F,0x0B0F,9,7,0.4375,9,1,0xF,0x0,0xA,0xA,0xF,0xF,0x5,0x5,R4030-C2212,NF-S0-WA-EA,MF_0B0F,BALANCED_7_9,SIDES_3_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1169
148,VIS01_MP_F60A,0xF60A,8,8,0.5000,8,1,0x0,0x5,0x7,0x6,0xF,0x0,0x8,0x9,R2024-C1322,N0-S5-W7-E6,MF_F605,BALANCED_7_9,SIDES_3_FULL_0,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1063
149,VIS01_MP_F110,0xF110,10,6,0.3750,10,1,0x0,0xF,0x1,0x7,0xF,0x0,0xE,0x8,R0114-C3111,N0-SF-W1-E7,MF_F110,LIGHT_10_12,SIDES_3_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN,true,1275
150,VIS01_MP_D54D,0xD54D,7,9,0.5625,5,2,0x2,0x2,0x2,0x6,0xB,0x2,0xD,0x9,R3123-C3042,N2-S2-W2-E6,MF_BA2B,BALANCED_7_9,SIDES_4_FULL_0,PARTIAL_FLOOR_SUPPORT,DETAIL_ELIGIBLE,DETAIL_ELIGIBLE,false,604
